x_coordinate,y_coordinate,concentration_mg_L,time_final
0.0,0.0,0.0,300.0
0.0,0.25,0.0,300.0
0.0,0.5,0.0,300.0
0.0,0.75,0.0,300.0
0.0,1.0,0.0,300.0
0.0,1.25,0.0,300.0
0.0,1.5,0.0,300.0
0.0,1.75,0.0,300.0
0.0,2.0,0.0,300.0
0.0,2.25,0.0,300.0
0.0,2.5,0.0,300.0
0.0,2.75,0.0,300.0
0.0,3.0,0.0,300.0
0.0,3.25,0.0,300.0
0.0,3.5,0.0,300.0
0.0,3.75,0.0,300.0
0.0,4.0,0.0,300.0
0.0,4.25,0.0,300.0
0.0,4.5,0.0,300.0
0.0,4.75,0.0,300.0
0.0,5.0,0.0,300.0
0.0,5.25,0.0,300.0
0.0,5.5,0.0,300.0
0.0,5.75,0.0,300.0
0.0,6.0,0.0,300.0
0.0,6.25,0.0,300.0
0.0,6.5,0.0,300.0
0.0,6.75,0.0,300.0
0.0,7.0,0.0,300.0
0.0,7.25,0.0,300.0
0.0,7.5,0.0,300.0
0.0,7.75,0.0,300.0
0.0,8.0,0.0,300.0
0.0,8.25,0.0,300.0
0.0,8.5,0.0,300.0
0.0,8.75,0.0,300.0
0.0,9.0,0.0,300.0
0.0,9.25,0.0,300.0
0.0,9.5,0.0,300.0
0.0,9.75,0.0,300.0
0.0,10.0,0.0,300.0
5.0,0.0,0.0,300.0
5.0,0.25,1.0797619577857045e-09,300.0
5.0,0.5,9.4492343819747e-09,300.0
5.0,0.75,5.61242697726703e-08,300.0
5.0,1.0,2.689337504106257e-07,300.0
5.0,1.25,1.1005005827497407e-06,300.0
5.0,1.5,3.954268837546968e-06,300.0
5.0,1.75,1.2689358556433457e-05,300.0
5.0,2.0,3.6802473985554884e-05,300.0
